date,title,price
2020-04-02,"The Hobbit: Or, There and Back Again",246.28
2020-04-02,What I Talk about When I Talk about Running: A Memoir,237.00
2020-04-02,Shōgun: The Epic Novel of Japan,562.18
2020-04-02,Someone Who Will Love You in All Your Damaged Glory: Stories,385.00
2020-04-02,"Anger and Forgiveness: Resentment, Generosity, Justice",437.73
2020-04-02,Before the Coffee Gets Cold,267.34
2020-04-03,Behave: The Biology of Humans at Our Best and Worst,244.29
2020-04-03,The Righteous Mind: Why Good People Are Divided by Politics and Religion,482.00
2020-04-03,The Vegetarian,312.00
2020-04-03,Confessions of a Mask,267.76
2020-04-03,The Hunger Games Trilogy Boxed Set,741.66
2020-04-03,I'm Thinking of Ending Things,310.83
2020-04-03,The Godfather,307.87
2020-04-03,No Longer Human,268.74
2020-04-03,La Inmortalidad,248.00
2020-04-03,"Call Me by Your Name, Portada puede variar",399.00
2020-04-03,Strange Weather in Tokyo,336.39
2020-04-03,Kokoro,282.00
2020-04-03,Memoirs of a Geisha,520.00
2020-04-03,Dance Dance Dance,341.60
2020-04-03,"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",534.00
2020-04-03,God Help the Child,484.36
2020-04-03,Anna Karenina,603.90
2020-04-03,The Selfish Gene: 40th Anniversary Edition,234.51
2020-04-03,The Hate U Give Collector's Edition,256.52
2020-04-03,"The Temple of Dawn: The Sea of Fertility, 3",377.05
2020-04-03,"The Decay of the Angel: The Sea of Fertility, 4",237.00
2020-04-03,Pedro y el capitán,99.00
2020-04-03,All My Sons,267.79
2020-04-03,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,231.56
2020-04-03,On Confidence,223.00
2020-04-03,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,375.63
2020-04-03,Relationships,388.59
2020-04-03,Mating in Captivity: Unlocking Erotic Intelligence,364.00
2020-04-03,Chaos: Making a New Science,366.56
2020-04-03,A Darker Shade of Magic,320.17
2020-04-03,Beyond Good and Evil,260.95
2020-04-03,"The Hobbit: Or, There and Back Again",251.64
2020-04-03,What I Talk about When I Talk about Running: A Memoir,237.00
2020-04-03,Shōgun: The Epic Novel of Japan,574.45
2020-04-03,Someone Who Will Love You in All Your Damaged Glory: Stories,385.00
2020-04-03,"Anger and Forgiveness: Resentment, Generosity, Justice",447.27
2020-04-03,Before the Coffee Gets Cold,267.78
2020-04-04,Behave: The Biology of Humans at Our Best and Worst,244.88
2020-04-04,The Righteous Mind: Why Good People Are Divided by Politics and Religion,482.00
2020-04-04,Confessions of a Mask,268.41
2020-04-04,The Hunger Games Trilogy Boxed Set,776.38
2020-04-04,I'm Thinking of Ending Things,311.58
2020-04-04,The Godfather,308.62
2020-04-04,No Longer Human,336.73
2020-04-04,La Inmortalidad,248.00
2020-04-04,"Call Me by Your Name, Portada puede variar",405.00
2020-04-04,Strange Weather in Tokyo,336.39
2020-04-04,Kokoro,282.00
2020-04-04,Memoirs of a Geisha,520.00
2020-04-04,Dance Dance Dance,341.60
2020-04-04,"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",534.00
2020-04-04,God Help the Child,484.36
2020-04-04,Anna Karenina,603.90
2020-04-04,The Selfish Gene: 40th Anniversary Edition,235.07
2020-04-04,The Hate U Give Collector's Edition,257.14
2020-04-04,"The Temple of Dawn: The Sea of Fertility, 3",377.05
2020-04-04,"The Decay of the Angel: The Sea of Fertility, 4",237.00
2020-04-04,Pedro y el capitán,99.00
2020-04-04,All My Sons,281.88
2020-04-04,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,231.56
2020-04-04,On Confidence,223.00
2020-04-04,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,335.58
2020-04-04,Relationships,389.54
2020-04-04,Mating in Captivity: Unlocking Erotic Intelligence,364.00
2020-04-04,Chaos: Making a New Science,367.45
2020-04-04,A Darker Shade of Magic,299.30
2020-04-04,Beyond Good and Evil,260.95
2020-04-04,"The Hobbit: Or, There and Back Again",252.25
2020-04-04,What I Talk about When I Talk about Running: A Memoir,237.00
2020-04-04,Shōgun: The Epic Novel of Japan,575.85
2020-04-04,Someone Who Will Love You in All Your Damaged Glory: Stories,385.00
2020-04-04,"Anger and Forgiveness: Resentment, Generosity, Justice",448.35
2020-04-04,Before the Coffee Gets Cold,267.21
