date,title,price
2020-03-24,God Help the Child,391.17
2020-03-24,Anna Karenina,370.0
2020-03-24,The Selfish Gene: 40th Anniversary Edition,236.22
2020-03-24,The Hate U Give Collector's Edition,258.39
2020-03-24,"The Temple of Dawn: The Sea of Fertility, 3",315.03
2020-03-24,"The Decay of the Angel: The Sea of Fertility, 4",237.0
2020-03-24,Pedro y el capitán,99.0
2020-03-24,All My Sons,223.0
2020-03-24,Persona: A Biography of Yukio Mishima,944.83
2020-03-24,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,219.69
2020-03-24,On Confidence,223.0
2020-03-24,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,375.63
2020-03-24,Relationships,390.7
2020-03-24,Mating in Captivity: Unlocking Erotic Intelligence,304.93
2020-03-24,Chaos: Making a New Science,369.25
2020-03-24,A Darker Shade of Magic,280.56
2020-03-24,From Disgust to Humanity: Sexual Orientation and Constitutional Law,540.72
2020-03-24,Beyond Good and Evil,251.12
2020-03-24,"The Hobbit: Or, There and Back Again",236.24
2020-03-24,What I Talk about When I Talk about Running: A Memoir,237.0
2020-03-24,The Whale That Fell in Love with a Submarine,347.34
2020-03-24,Shōgun: The Epic Novel of Japan,667.5
2020-03-24,Someone Who Will Love You in All Your Damaged Glory: Stories,317.54
2020-03-24,"Runaway Horses: The Sea of Fertility, 2",317.53
2020-03-24,"Anger and Forgiveness: Resentment, Generosity, Justice",488.13
2020-03-24,Before the Coffee Gets Cold,287.23
2020-03-24,Human Acts,359.41
2020-03-25,The Hunger Games Trilogy Boxed Set,800.0
2020-03-25,"First, We Make the Beast Beautiful: A New Journey Through Anxiety",386.0
2020-03-25,I'm Thinking of Ending Things,223.0
2020-03-25,The Godfather,322.72
2020-03-25,Colorless Tsukuru Tazaki and His Years of Pilgrimage,550.12
2020-03-25,The Remains of the Day,458.6
2020-03-25,The Elephant Vanishes,315.3
2020-03-25,No Longer Human,306.0
2020-03-25,La Inmortalidad,248.0
2020-03-25,"Call Me by Your Name, Portada puede variar",302.21
2020-03-25,Strange Weather in Tokyo,336.39
2020-03-25,Kokoro,282.0
2020-03-25,Notre Dame de París / Notre-Dame of Paris,306.33
2020-03-25,Memoirs of a Geisha,409.88
2020-03-25,Dance Dance Dance,299.67
2020-03-25,"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",534.0
2020-03-25,God Help the Child,393.63
2020-03-25,Anna Karenina,370.0
2020-03-25,The Selfish Gene: 40th Anniversary Edition,245.82
2020-03-25,The Hate U Give Collector's Edition,268.89
2020-03-25,"The Temple of Dawn: The Sea of Fertility, 3",315.03
2020-03-25,"The Decay of the Angel: The Sea of Fertility, 4",237.0
2020-03-25,Pedro y el capitán,99.0
2020-03-25,All My Sons,223.0
2020-03-25,Persona: A Biography of Yukio Mishima,981.2
2020-03-25,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,219.69
2020-03-25,On Confidence,223.0
2020-03-25,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,324.51
2020-03-25,Relationships,296.0
2020-03-25,Mating in Captivity: Unlocking Erotic Intelligence,304.93
2020-03-25,Chaos: Making a New Science,384.24
2020-03-25,A Darker Shade of Magic,291.96
2020-03-25,From Disgust to Humanity: Sexual Orientation and Constitutional Law,540.72
2020-03-25,Beyond Good and Evil,251.12
2020-03-25,"The Hobbit: Or, There and Back Again",245.84
2020-03-25,What I Talk about When I Talk about Running: A Memoir,237.0
2020-03-25,The Whale That Fell in Love with a Submarine,361.45
2020-03-25,Shōgun: The Epic Novel of Japan,667.5
