Kokoro,345.12,346.59,343.65,343.65,340.74,341.45,338.63,341.5,341.5,350.39,360.53,360.53,362.22,362.22,363.02,357.4,352.73,348.94,348.94,345.93,345.93,348.18,348.18,345.95,343.17,343.18,343.18,343.91,346.13,346.11,345.38,357.56,368.72,368.72,371.48,360.12,361.12,358.71,350.22,350.22,349.15,347.79,347.79,349.28,346.32,346.32,346.32,349.28,349.28,338.51,338.49,337.10
The Handmaid's Tale,538.67,538.67,538.67,544.46,544.46,544.46,544.46,573.0,573.0,573.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,544.0,544.0,544.0,544.0,544.0,544.0,544.0,544.00
Persuasion,428.2,421.77,418.61,418.61,418.61,416.38,412.89,417.88,417.88,421.44,444.54,443.0,443.0,444.99,446.44,446.44,433.77,433.77,429.09,429.09,425.84,432.98,429.25,426.71,421.3,421.3,421.72,423.47,426.61,426.61,426.35,424.07,425.78,426.68,425.78,428.08,425.39,422.34,437.76,437.76,438.7,446.12,446.56,448.46,445.34,445.34,445.34,445.34,449.13,439.83,435.26,433.70
Mansfield Park,465.67,458.9,455.24,455.24,455.66,453.66,453.66,454.61,455.05,458.93,481.78,482.45,482.55,485.41,486.94,479.44,474.53,469.88,469.88,469.86,465.85,474.04,469.99,467.44,461.58,461.6,462.71,464.79,468.0,467.97,466.99,466.71,468.26,472.34,471.36,470.13,467.18,465.17,462.36,462.13,462.9,470.51,470.51,472.28,468.3,467.64,467.64,467.64,471.62,461.63,456.84,454.98
Emma,468.99,470.98,466.99,466.98,464.35,465.34,462.76,470.47,470.47,482.45,494.51,498.26,498.36,502.45,503.79,496.03,492.95,488.1,488.1,488.08,484.58,491.93,488.63,483.5,477.45,477.47,477.47,478.7,481.77,481.74,477.7,477.28,479.4,487.57,486.12,483.54,480.29,476.7,476.72,478.67,482.57,484.08,484.08,492.09,487.95,487.5,487.5,487.5,491.65,481.47,476.47,474.31
The Jane Austen Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Women,363.73,358.27,355.22,355.22,352.22,399.82,399.82,533.83,533.83,538.38,,,,,,,,545.36,545.36,545.36,540.69,540.69,544.18,540.69,540.69,533.83,533.83,534.96,538.38,538.38,537.23,537.23,533.83,534.96,533.83,532.7,532.7,532.7,527.14,527.14,,,,,,,,,,,,
The Bell Jar,499.39,501.53,580.0,580.0,546.34,513.11,501.4,478.52,467.63,448.26,447.51,444.35,442.95,442.27,436.4,436.4,427.6,588.77,588.77,466.94,443.58,424.03,404.65,401.62,396.53,426.85,426.85,426.85,430.49,413.26,412.38,421.08,421.08,421.08,421.08,420.19,424.45,424.45,424.45,424.45,427.13,432.58,432.58,434.43,430.75,430.75,408.71,412.2,420.4,392.29,420.94,419.20
City of Thieves,292.64,293.9,290.75,288.82,288.94,289.55,285.43,289.33,289.12,296.65,305.71,305.71,307.08,305.49,301.44,303.0,299.03,295.8,295.8,295.8,285.43,282.97,282.97,281.16,277.59,277.59,277.59,278.18,279.96,279.96,277.59,277.59,278.18,278.18,277.59,277.0,274.11,274.11,274.11,274.11,275.84,279.36,279.36,280.56,278.18,278.18,278.18,280.56,280.56,271.84,271.84,270.72
The Jane Austen Collection: Deluxe 6-Volume Slipcase Edition: 1,852.24,855.9,848.61,859.79,852.53,854.34,844.42,843.23,844.51,865.18,892.99,890.29,894.28,894.28,882.41,883.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Jane Austen Collection: Deluxe 6-Volume Box Set Edition: 1,,,,,,,,,,,,,,,,,872.61,863.19,863.19,854.07,854.07,860.24,861.77,856.23,843.87,843.87,843.87,846.52,851.93,851.93,844.73,858.39,880.97,882.47,876.33,859.57,850.59,834.36,834.36,834.36,839.4,851.62,851.62,855.91,850.8,850.8,850.8,858.07,857.85,832.67,832.67,829.66
"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",,,,,,,,,,,,,,,,,,,,442.04,442.04,433.2,433.2,416.05,404.5,404.52,390.12,390.95,393.45,393.45,390.12,390.12,390.95,390.95,390.12,389.3,386.85,385.23,385.23,385.23,387.66,392.61,392.61,394.29,390.95,390.95,390.95,394.29,394.29,371.59,366.57,359.85
On Intelligence: How a New Understanding of the Brain Will Lead to the Creation of Truly Intelligent Machines,,,,,,,,,,,,,,,,,,,,589.7,563.18,566.82,566.82,566.82,566.82,566.82,556.03,556.03,556.03,556.03,556.03,556.03,556.03,557.21,556.03,556.03,554.86,549.07,549.07,549.07,550.22,550.22,550.22,550.22,561.97,561.97,561.97,561.97,546.65,546.65,529.67,529.67
Tove Jansson: Work and Love,,,,,,,,,,,,,,,,,,,,,539.6,543.09,543.09,539.6,539.6,532.76,532.76,532.76,532.76,537.3,537.3,537.3,537.3,537.3,532.76,531.64,526.09,526.09,526.09,526.09,529.4,536.16,536.16,538.45,533.89,533.89,533.89,538.45,538.45,521.73,521.73,519.58
Drink: A Cultural History of Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.77,470.76,470.76,469.77,468.78,465.83,463.88,463.88,463.88,464.85,466.81,472.77,474.79,470.76,470.76,470.76,470.76,474.79,468.78,460.04,458.14
Conversations with Friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.64,583.64,583.64,583.64,583.64,583.64,583.64,583.64,583.64,583.64,583.64,583.64,583.64,583.64,583.64,583.64,583.64,583.64,583.64,583.64
